file_name,genre,year,artist,title,album,length,bpm,folder
8 Inch Betsy - Doomed,Punk,2008,8 Inch Betsy,Doomed,"This Time, Last Time, Every Time",3:38,79,A - C
A Call To Remain - Last Hope,Alternative,2010,A Call To Remain,Last Hope,,3:54,86,A - C
A Day To Remember - 2nd Sucks,Rock,2010,A Day to Remember,2nd Sucks,What Separates Me from You,2:30,139,A - C
A Day To Remember - All I Want,Rock,2010,A Day to Remember,All I Want,What Separates Me from You,3:25,159,A - C
A Day to Remember - All Signs Point to Lauderdale,Rock,2010,A Day to Remember,All Signs Point to Lauderdale,What Separates Me from You,3:18,149,A - C
A Day to Remember - Better Off This Way,Rock,2010,A Day to Remember,Better Off This Way,What Separates Me from You,3:29,159,A - C
A Day to Remember - Have Faith In Me,Rock,2009,A Day to Remember,Have Faith In Me,Homesick,3:12,149,A - C
"A Day to Remember - I'm Made of Wax, Larry, What Are You Made Of",Rock,2009,A Day to Remember,"I'm Made of Wax, Larry, What Are You Made Of?",Homesick,3:00,159,A - C
A Day to Remember - If It Means a Lot to You,Rock,2009,A Day to Remember,If It Means a Lot to You,Homesick,4:05,127,A - C
A Day to Remember - It's Complicated,Rock,2010,A Day to Remember,It's Complicated,What Separates Me from You,3:00,97,A - C
A Day To Remember - Nj Legion Iced Tea,Rock,2009,A Day to Remember,NJ Legion Iced Tea,Homesick,3:36,148,A - C
A Day to Remember - Sticks & Bricks,Rock,2010,A Day to Remember,Sticks & Bricks,What Separates Me from You,3:22,139,A - C
A Day To Remember - The Downfall Of Us All,Rock,2009,A Day to Remember,The Downfall Of Us All,Homesick,3:33,129,A - C
A Day to Remember - The Plot to Bomb the Panhandle,Rock,2007,A Day to Remember,The Plot to Bomb the Panhandle,For Those Who Have Heart,4:08,100,A - C
A Flock of Seagulls - I Ran (So Far Away),Alternative,1982,A Flock of Seagulls,I Ran (So Far Away),A Flock of Seagulls,5:09,146,A - C
A Hero Next Door - One Step Behind,Punk,2009,A Hero Next Door,One Step Behind,It's About (Freakin) Time,3:23,124,A - C
A Lie to Live By - We Actually Do This Thing Where We Drop the First String,Metal,2009,A Lie to Live By,We Actually Do This Thing Where We Drop the First String,,5:13,129,A - C
A Life Divided - Doesn't Count,Rock,2011,A Life Divided,Doesn't Count,Passenger,4:35,95,A - C
A Life Once Lost - Madness is God,Metal,2012,A Life Once Lost,Madness is God,Ecstatic Trance,4:18,128,A - C
A Perfect Circle - Judith,Alternative,2000,A Perfect Circle,Judith,Mer De Noms,4:10,82,A - C
A Perfect Circle - The Outsider,Alternative,2003,A Perfect Circle,The Outsider,Thirteenth Step,4:08,169,A - C
A Plea for Purging - Heart of a Child,Metal,2011,A Plea for Purging,Heart of a Child,The Life & Death of A Plea for Purging,4:08,139,A - C
A Silent Film - You Will Leave a Mark,Alternative,2010,A Silent Film,You Will Leave a Mark,The City That Sleeps,3:42,85,A - C
A Skylit Drive - Too Little Too Late,Alternative,2011,A Skylit Drive,Too Little Too Late,Identity on Fire,3:19,120,A - C
a t o m - I'm Coming Home,Alternative,2010,a t o m,I'm Coming Home,S.I.P.,5:00,128,A - C
a t o m - Icon,Alternative,2010,a t o m,Icon,Back 2 Earth,2:38,132,A - C
a t o m - Light Of Day,Alternative,2010,a t o m,Light Of Day,S.I.P.,3:18,120,A - C
a t o m - Satellite (Live),Alternative,2010,a t o m,Satellite (Live),S.I.P.,4:09,83,A - C
a t o m - Shake,Alternative,2010,a t o m,Shake,Back To Earth,4:10,120,A - C
a t o m - To The Otherside,Alternative,2009,a t o m,To The Otherside,S.I.P.,4:17,123,A - C
a t o m - You Take It All,Alternative,2010,a t o m,You Take It All,Back To Earth/I Have Returned,4:15,120,A - C
a t o m - You're Not Alone - Rock Mix,Alternative,2010,a t o m,You're Not Alone - Rock Mix,You're Not Alone/Back To Earth,4:58,139,A - C
A Talking Fish - (I Want to Go to) Space,Novelty,2010,A Talking Fish,(I Want to Go to) Space,(I Want to Go to) Space - Single,1:52,135,A - C
A Talking Fish - Cheesy Pop Song,Novelty,2011,A Talking Fish,Cheesy Pop Song,Cheesy Pop Song - Single,3:20,139,A - C
A Wilhelm Scream - Skid Rock,Punk,2009,A Wilhelm Scream,Skid Rock,A Wilhelm Scream,4:36,185,A - C
a'tris - Automatic Doors,Indie Rock,2008,a'tris,Automatic Doors,Lensing,4:02,117,A - C
a-ha - Take on Me,Alternative,1985,a-ha,Take on Me,Hunting High and Low,3:57,84,A - C
Abnormality - Visions,Metal,2007,Abnormality,Visions,Abnormality Demo,3:00,77,A - C
Abraham Nixon - Secondary Gain,Rock,2010,Abraham Nixon,Secondary Gain,Abraham Nixon,3:31,103,A - C
ACDC - Back in Black (Live),Classic Rock,1992,AC/DC,Back in Black (Live),Live,3:57,95,A - C
ACDC - Dirty Deeds Done Dirt Cheap (Live),Classic Rock,1992,AC/DC,Dirty Deeds Done Dirt Cheap (Live),Live,4:41,134,A - C
ACDC - Fire Your Guns (Live),Classic Rock,1992,AC/DC,Fire Your Guns (Live),Live,3:00,104,A - C
ACDC - For Those About to Rock (We Salute You) (Live),Classic Rock,1992,AC/DC,For Those About to Rock (We Salute You) (Live),Live,6:37,92,A - C
ACDC - Heatseeker (Live),Classic Rock,1992,AC/DC,Heatseeker (Live),Live,3:34,91,A - C
ACDC - Hell Ain't a Bad Place to Be (Live),Classic Rock,1992,AC/DC,Hell Ain't a Bad Place to Be (Live),Live,4:22,126,A - C
ACDC - Hells Bells (Live),Classic Rock,1992,AC/DC,Hells Bells (Live),Live,5:54,116,A - C
ACDC - High Voltage (Live),Classic Rock,1992,AC/DC,High Voltage (Live),Live,9:18,141,A - C
ACDC - Highway to Hell (Live),Classic Rock,1992,AC/DC,Highway To Hell (Live),Live,4:27,122,A - C
ACDC - Jailbreak (Live),Classic Rock,1992,AC/DC,Jailbreak (Live),Live,11:43,128,A - C
ACDC - Let There Be Rock (Live),Classic Rock,1992,AC/DC,Let There Be Rock (Live),Live,9:36,108,A - C
ACDC - Let There Be Rock,Classic Rock,1977,AC/DC,Let There Be Rock,Let There Be Rock,6:15,181,A - C
ACDC - Moneytalks (Live),Classic Rock,1992,AC/DC,Moneytalks (Live),Live,3:53,123,A - C
ACDC - Shoot to Thrill (Live),Classic Rock,1992,AC/DC,Shoot to Thrill (Live),Live,5:25,145,A - C
ACDC - Shot In The Dark,Classic Rock,2020,AC/DC,Shot In The Dark,POWER UP,3:09,114,A - C
ACDC - T.N.T. (Live),Classic Rock,1992,AC/DC,T.N.T. (Live),Live,3:32,130,A - C
ACDC - The Jack (Live),Classic Rock,1992,AC/DC,The Jack (Live),Live,5:44,148,A - C
ACDC - Thunderstruck (Live),Classic Rock,1992,AC/DC,Thunderstruck (Live),Live,5:38,131,A - C
ACDC - Whole Lotta Rosie (Live),Classic Rock,1992,AC/DC,Whole Lotta Rosie (Live),Live,4:39,94,A - C
ACDC - You Shook Me All Night Long (Live),Classic Rock,1992,AC/DC,You Shook Me All Night Long (Live),Live,3:44,136,A - C
Ace Frehley - Outer Space,Metal,2009,Ace Frehley,Outer Space,Anomaly,3:47,128,A - C
Ace of Base - The Sign,Pop Rock,1993,Ace of Base,The Sign,The Sign,3:16,97,A - C
Action Action - Masters of Puppet Rock,Alternative,2010,Action Action,Masters of Puppet Rock,The Ones Who Get It Are The Ones Who Need Not To Know,2:48,142,A - C
Action Action - The Ones Who Get It,Alternative,2010,Action Action,The Ones Who Get It,The Ones Who Get It Are The Ones Who Need Not To Know,2:54,144,A - C
Active Knowledge - Dance Battle Alpha,Pop/Dance/Electronic,2010,Active Knowledge,Dance Battle Alpha,INFINITE,5:13,83,A - C
Active Knowledge - Reality Down,Pop/Dance/Electronic,2010,Active Knowledge,Reality Down,INFINITE,3:07,130,A - C
Active Knowledge - Supertronic Lazering,Pop/Dance/Electronic,2010,Active Knowledge,Supertronic Lazering,INFINITE,3:38,144,A - C
Active Knowledge - The Fractal Reason,Pop/Dance/Electronic,2010,Active Knowledge,The Fractal Reason,INFINITE,4:35,139,A - C
Adam Evil - Liberated by Blasphemy,Metal,2007,Adam Evil,Liberated by Blasphemy,Fueled by Audacity,4:20,112,A - C
Adept - The Ivory Tower,Metal,2011,Adept,The Ivory Tower,Death Dealers,3:11,189,A - C
Admiral of Black - Bitten by the Rattlesnake,Rock,2009,Admiral of Black,Bitten by the Rattlesnake,The Hand of Chaos,5:41,171,A - C
Adora - Skeleton,Punk,2012,Adora,Skeleton,One Word,2:41,105,A - C
Aerosmith - Train Kept A Rollin',Rock,1974,Aerosmith (WaveGroup),Train Kept A Rollin',Get Your Wings,5:44,103,A - C
Aerosmith - Angel,Rock,1987,Aerosmith,Angel,Permanent Vacation,5:00,85,A - C
Aerosmith - Back in the Saddle,Rock,1977,Aerosmith,Back in the Saddle,Rocks,4:44,121,A - C
Aerosmith - Crazy,Rock,1993,Aerosmith,Crazy,Get a Grip,5:20,161,A - C
Aerosmith - Cryin',Rock,1993,Aerosmith,Cryin',Get a Grip,5:24,105,A - C
Aerosmith - Dream On (Live),Rock,1973,Aerosmith,Dream On (Live),Live from the Vault,4:58,144,A - C
Aerosmith - Dude (Looks Like a Lady),Rock,1987,Aerosmith,Dude (Looks Like a Lady),Permanent Vacation,4:13,126,A - C
Aerosmith - Eat the Rich,Rock,1993,Aerosmith,Eat the Rich,Get a Grip,4:16,122,A - C
Aerosmith - I Don't Want to Miss a Thing,Rock,1998,Aerosmith,I Don't Want to Miss a Thing,The Essential Aerosmith,4:38,121,A - C
Aerosmith - Janie's Got A Gun,Rock,1989,Aerosmith,Janie's Got A Gun,Pump,5:17,115,A - C
Aerosmith - Legendary Child,Rock,2012,Aerosmith,Legendary Child,Music from Another Dimension!,4:16,110,A - C
Aerosmith - Livin' On The Edge,Rock,1993,Aerosmith,Livin' on the Edge,Get a Grip,6:08,84,A - C
Aerosmith - Love In An Elevator,Rock,1989,Aerosmith,Love in an Elevator,Pump,5:43,93,A - C
Aerosmith - Lover Alot,Rock,2012,Aerosmith,Lover Alot,Music from Another Dimension!,3:40,80,A - C
Aerosmith - Rag Doll,Rock,1988,Aerosmith,Rag Doll,Permanent Vacation,4:15,94,A - C
Aerosmith - Rats in the Cellar,Rock,1976,Aerosmith,Rats in the Cellar,Rocks,4:10,111,A - C
Aerosmith - Seasons of Wither,Rock,1974,Aerosmith,Seasons of Wither,Get Your Wings,5:03,100,A - C
Aerosmith - Sweet Emotion,Rock,1975,Aerosmith,Sweet Emotion,Aerosmith's Greatest Hits,4:46,100,A - C
Aerosmith - Toys in the Attic,Rock,1975,Aerosmith,Toys in the Attic,Toys in the Attic,3:14,98,A - C
Aerosmith - Walk This Way,Rock,1975,Aerosmith,Walk This Way,Aerosmith's Greatest Hits,3:50,107,A - C
Aesthetic Perfection - The Devil's in the Details,Pop/Dance/Electronic,2011,Aesthetic Perfection,The Devil's in the Details,The Devil's in the Details,4:19,127,A - C
AFD Shift - Crusader,Hip-Hop/Rap,2007,AFD Shift,Crusader,Crusader,2:54,111,A - C
Affiance - Call to the Warrior,Metal,2010,Affiance,Call to the Warrior,No Secrets Revealed,4:34,141,A - C
AFI - Beautiful Thieves,Alternative,2010,AFI,Beautiful Thieves,Crash Love,3:50,86,A - C
AFI - Dancing Through Sunday,Alternative,2003,AFI,Dancing Through Sunday,Sing the Sorrow,2:31,114,A - C
AFI - End Transmission,Alternative,2009,AFI,End Transmission,Crash Love,3:47,189,A - C
AFI - Girl's Not Grey,Alternative,2003,AFI,Girl's Not Grey,Sing the Sorrow,3:14,121,A - C
AFI - Love Like Winter,Alternative,2006,AFI,Love Like Winter,Decemberunderground,2:46,119,A - C
AFI - Medicate,Alternative,2009,AFI,Medicate,Crash Love,4:31,92,A - C
AFI - Miss Murder,Alternative,2006,AFI,Miss Murder,Decemberunderground,3:20,143,A - C
"AFI - The Leaving Song, Pt. II",Alternative,2003,AFI,"The Leaving Song, Pt. II",Sing the Sorrow,3:28,88,A - C
AFI - The Missing Frame,Alternative,2007,AFI,The Missing Frame,Decemberunderground,4:47,133,A - C
After the Burial - Aspiration,Metal,2009,After the Burial,Aspiration,Rareform,4:31,134,A - C
After the Burial - Berzerker,Metal,2009,After the Burial,Berzerker,Rareform,5:44,102,A - C
After the Burial - Cursing Akhenaten,Metal,2009,After the Burial,Cursing Akhenaten,Rareform,4:07,159,A - C
After the Burial - My Frailty,Metal,2010,After the Burial,My Frailty,In Dreams,4:44,100,A - C
After the Burial - Pendulum,Metal,2010,After the Burial,Pendulum,In Dreams,4:52,87,A - C
After the Burial - Your Troubles Will Cease and Fortune Will Smile Upon You,Metal,2010,After the Burial,Your Troubles Will Cease and Fortune Will Smile Upon You,In Dreams,4:44,139,A - C
After the Fall - Stay Up With Me,Rock,2010,After the Fall,Stay Up With Me,You Don't Have to Sleep to Dream,3:56,94,A - C
Against Me! - New Wave,Punk,2007,Against Me!,New Wave,New Wave,3:38,142,A - C
Against Me! - Stop!,Punk,2007,Against Me!,Stop!,New Wave,2:50,119,A - C
Against Me! - Thrash Unreal,Punk,2007,Against Me!,Thrash Unreal,New Wave,4:16,83,A - C
Against the Current - Running with the Wild Things,Pop Rock,2016,Against the Current,Running with the Wild Things,In Our Bones,3:46,159,A - C
Aiden - Broken Bones,Punk,2011,Aiden,Broken Bones,Some Kind of Hate,3:11,179,A - C
Aiden - Hysteria,Punk,2011,Aiden,Hysteria,Disguises,4:16,149,A - C
Aiden - Scavengers of the Damned,Punk,2009,Aiden,Scavengers of the Damned,Knives,2:47,179,A - C
Airbourne - Runnin' Wild,Rock,2007,Airbourne,Runnin' Wild,Runnin' Wild,3:42,161,A - C
"Airbourne - Too Much, Too Young, Too Fast",Rock,2007,Airbourne,"Too Much, Too Young, Too Fast",Runnin' Wild,3:53,114,A - C
Aittala - Filthy Dog,Metal,2009,Aittala,Filthy Dog,Bed of Thorns,3:45,130,A - C
Aittala - Numb,Metal,2009,Aittala,Numb,Bed of Thorns,4:16,120,A - C
AJR ft. Rivers Cuomo - Sober Up,Pop Rock,2017,AJR ft. Rivers Cuomo,Sober Up,The Click,3:43,185,A - C
Akira The Don - Steven Wells (He Was the Greatest),Punk,2009,Akira The Don,Steven Wells (He Was the Greatest),ATD 19: The Steven Wells Mixtape,4:05,100,A - C
Alabama Shakes - Don't Wanna Fight,Southern Rock,2015,Alabama Shakes,Don't Wanna Fight,Sound & Color,3:58,103,A - C
Alan Jackson - Good Time,Country,2008,Alan Jackson,Good Time,Good Time,5:19,132,A - C
Alanis Morissette - Head Over Feet,Pop Rock,1995,Alanis Morissette,Head Over Feet,Jagged Little Pill,5:27,80,A - C
Alanis Morissette - Ironic,Pop Rock,1995,Alanis Morissette,Ironic,Jagged Little Pill,3:54,85,A - C
Alanis Morissette - You Oughta Know,Pop Rock,1995,Alanis Morissette,You Oughta Know,Jagged Little Pill,4:15,105,A - C
Alchemilla - Bleeder,Rock,2010,Alchemilla,Bleeder,Chasing Ghosts,3:25,172,A - C
Alestorm - Back Through Time,Metal,2011,Alestorm,Back Through Time,Back Through Time,4:50,97,A - C
Alestorm - Shipwrecked,Metal,2011,Alestorm,Shipwrecked,Back Through Time,3:34,105,A - C
Alexisonfire - Young Cardinals,Metal,2009,Alexisonfire,Young Cardinals,Old Crows / Young Cardinals,3:49,153,A - C
Alias Unknown - Top Back,R&B/Soul/Funk,2009,Alias Unknown,Top Back,,4:12,155,A - C
Alice Cooper - Billion Dollar Babies (Live),Rock,1995,Alice Cooper,Billion Dollar Babies (Live),Classicks,3:39,95,A - C
Alice Cooper - Elected,Rock,1973,Alice Cooper,Elected,Billion Dollar Babies,4:09,132,A - C
Alice Cooper - Feed My Frankenstein,Rock,1991,Alice Cooper,Feed My Frankenstein,Hey Stoopid,4:37,102,A - C
Alice Cooper - I'm Eighteen (Live),Rock,1995,Alice Cooper,I'm Eighteen (Live),Classicks,4:31,95,A - C
Alice Cooper - I'm Eighteen,Rock,1971,Alice Cooper,I'm Eighteen,Love It to Death,3:01,97,A - C
Alice Cooper - No More Mr. Nice Guy,Rock,2010,Alice Cooper,No More Mr. Nice Guy,Billion Dollar Babies,3:18,126,A - C
Alice Cooper - Poison,Rock,1989,Alice Cooper,Poison,Trash,4:38,116,A - C
Alice Cooper - School's Out (Live),Rock,1995,Alice Cooper,School's Out (Live),Classicks,3:39,141,A - C
Alice Cooper - School's Out,Rock,1972,Alice Cooper,School's Out,School's Out,3:32,132,A - C
Alice Cooper - Under My Wheels (Live),Rock,1995,Alice Cooper,Under My Wheels (Live),Classicks,3:37,75,A - C
Alice Cooper - Vengeance is Mine,Rock,2008,Alice Cooper,Vengeance is Mine,Along Came a Spider,4:32,95,A - C
Alice Cooper - Welcome to My Nightmare,Rock,1975,Alice Cooper,Welcome to My Nightmare,Welcome to My Nightmare,5:02,113,A - C
Alice In Chains - A Looking in View,Grunge,2009,Alice In Chains,A Looking in View,Black Gives Way to Blue,7:25,120,A - C
Alice In Chains - Check My Brain,Grunge,2009,Alice In Chains,Check My Brain,Black Gives Way to Blue,4:06,114,A - C
Alice In Chains - Down In a Hole,Grunge,1992,Alice In Chains,Down In a Hole,Dirt,5:43,95,A - C
Alice In Chains - Grind,Grunge,1995,Alice in Chains,Grind,Alice in Chains,4:50,88,A - C
Alice In Chains - Heaven Beside You,Grunge,1995,Alice in Chains,Heaven Beside You,Alice in Chains,5:30,112,A - C
Alice In Chains - Last of My Kind,Grunge,2009,Alice in Chains,Last of My Kind,Black Gives Way to Blue,5:52,116,A - C
Alice in Chains - Man in the Box,Grunge,1991,Alice in Chains,Man in the Box,Facelift,4:52,109,A - C
Alice In Chains - No Excuses,Grunge,1994,Alice In Chains,No Excuses,Jar of Flies,4:22,117,A - C
Alice In Chains - Rooster,Grunge,1992,Alice In Chains,Rooster,Dirt,6:31,142,A - C
Alice in Chains - Them Bones,Grunge,1992,Alice in Chains,Them Bones,Dirt,2:33,80,A - C
Alice In Chains - We Die Young,Grunge,1990,Alice in Chains,We Die Young,Facelift,2:37,125,A - C
Alice In Chains - Would,Grunge,1992,Alice In Chains,Would?,Dirt,3:43,100,A - C
Alice In Chains - Your Decision,Grunge,2009,Alice in Chains,Your Decision,Black Gives Way to Blue,4:47,100,A - C
Alien Ant Farm - Courage v1,Rock,2001,Alien Ant Farm,Courage v1,ANThology,3:36,109,A - C
Alien Ant Farm - Courage,Rock,2001,Alien Ant Farm,Courage,ANThology,3:36,109,A - C
Alien Ant Farm - Glow,Rock,2003,Alien Ant Farm,Glow,truANT,3:18,143,A - C
Alien Ant Farm - Movies,Rock,2001,Alien Ant Farm,Movies,ANThology,3:26,113,A - C
Alien Ant Farm - Smooth Criminal,Rock,2001,Alien Ant Farm,Smooth Criminal,ANThology,3:31,127,A - C
Alien Downlink - Heavy Plastic,Novelty,2009,Alien Downlink,Heavy Plastic,,3:47,143,A - C
Alien Downlink - I Wanna Be An Alien's Pet,Novelty,2009,Alien Downlink,I Wanna Be An Alien's Pet,Inbound Probe,2:59,165,A - C
Alkaline Trio - Mercy Me,Punk,2005,Alkaline Trio,Mercy Me,Crimson,2:53,161,A - C
All City Elite - Wake Up Fall,Pop/Dance/Electronic,2011,All City Elite,Wake Up Fall,Just Listen...,4:21,139,A - C
All Hallow's Evil - The Cold Taste of Nickel Plated Steel,Metal,2009,All Hallow's Evil,The Cold Taste of Nickel Plated Steel,Knowing Then What We Know Now,5:13,102,A - C
All Shall Perish - A Pure Evil,Metal,2011,All Shall Perish,A Pure Evil,This is Where it Ends,5:18,120,A - C
All Shall Perish - Divine Illusion,Metal,2011,All Shall Perish,Divine Illusion,This is Where it Ends,3:31,120,A - C
All Shall Perish - Embrace The Curse,Metal,2011,All Shall Perish,Embrace The Curse,This is Where it Ends,3:02,115,A - C
All Shall Perish - In This Life of Pain,Metal,2011,All Shall Perish,In This Life of Pain,This is Where it Ends,4:58,100,A - C
All Shall Perish - My Retaliation,Metal,2011,All Shall Perish,My Retaliation,This is Where it Ends,3:25,179,A - C
All Shall Perish - Never... Again,Metal,2008,All Shall Perish,Never... Again,Awaken the Dreamers,3:17,139,A - C
All Shall Perish - Rebirth,Metal,2011,All Shall Perish,Rebirth,This is Where it Ends,5:33,159,A - C
All Shall Perish - Royalty Into Exile,Metal,2011,All Shall Perish,Royalty Into Exile,This is Where it Ends,4:27,110,A - C
All Shall Perish - Spineless,Metal,2011,All Shall Perish,Spineless,This is Where It Ends,4:03,110,A - C
All Shall Perish - Stabbing to Purge Dissimulation,Metal,2008,All Shall Perish,Stabbing to Purge Dissimulation,Awaken the Dreamers,2:40,110,A - C
All Shall Perish - The Death Plague,Metal,2011,All Shall Perish,The Death Plague,This Is Where It Ends,3:09,149,A - C
All Shall Perish - There is Nothing Left,Metal,2011,All Shall Perish,There is Nothing Left,This is Where it Ends,3:26,159,A - C
All That Remains - Chiron,Metal,2008,All That Remains,Chiron,Overcome,4:28,103,A - C
All That Remains - Days Without,Metal,2008,All That Remains,Days Without,Overcome,3:13,105,A - C
All That Remains - Divide,Metal,2015,All That Remains,Divide,The Order of Things,3:21,173,A - C
All That Remains - For We Are Many,Metal,2010,All That Remains,For We Are Many,For We Are Many,3:03,105,A - C
All That Remains - Forever In Your Hands,Metal,2008,All That Remains,Forever In Your Hands,Overcome,3:23,183,A - C
All That Remains - Hold On,Metal,2010,All That Remains,Hold On,For We Are Many,3:00,83,A - C
All That Remains - The Waiting One,Metal,2010,All That Remains,The Waiting One,For We Are Many,4:47,149,A - C
All That Remains - This Calling,Metal,2006,All That Remains,This Calling,The Fall of Ideals,3:41,108,A - C
All That Remains - Two Weeks,Metal,2008,All That Remains,Two Weeks,Overcome,4:25,112,A - C
All That Remains - Undone,Metal,2008,All That Remains,Undone,Overcome,3:16,195,A - C
All That Remains - What If I Was Nothing,Metal,2012,All That Remains,What If I Was Nothing,A War You Cannot Win,4:31,143,A - C
All Time Low - Damned If I Do Ya (Damned If I Don't) (Live),Punk,2009,All Time Low,Damned If I Do Ya (Damned If I Don't),Nothing Personal,3:07,133,A - C
"All Time Low - Dear Maria, Count Me In",Punk,2008,All Time Low,"Dear Maria, Count Me In","So Wrong, It's Right",3:07,90,A - C
All Time Low - Walls,Punk,2009,All Time Low,Walls,Nothing Personal,3:29,76,A - C
All Time Low - Weightless,Punk,2009,All Time Low,Weightless,Nothing Personal,3:19,90,A - C
Alpha Rev - Face Down,Alternative,2007,Alpha Rev,Face Down,New Morning,3:36,128,A - C
Alphabeat - Fascination,Pop Rock,2008,Alphabeat,Fascination,This is Alphabeat,3:04,193,A - C
Alter Bridge - Come to Life,Rock,2007,Alter Bridge,Come To Life,Blackbird,3:50,97,A - C
Alter Bridge - Ties That Bind,Rock,2007,Alter Bridge,Ties That Bind,Blackbird,3:24,165,A - C
Alternative Deficit Disorder - Pylo the Pylon,Novelty,2009,Alternative Deficit Disorder,Pylo the Pylon,,3:10,100,A - C
Aly & AJ - Like Whoa,Pop Rock,2007,Aly & AJ,Like Whoa,Insomniatic,2:36,121,A - C
Amberian Dawn - Arctica,Metal,2010,Amberian Dawn,Arctica,End of Eden,5:02,100,A - C
Amberian Dawn - Blackbird,Metal,2010,Amberian Dawn,Blackbird,End of Eden,4:02,135,A - C
Amberian Dawn - Charnel's Ball,Metal,2012,Amberian Dawn,Charnel's Ball,Circus Black,4:33,130,A - C
Amberian Dawn - Circus Black,Metal,2012,Amberian Dawn,Circus Black,Circus Black,3:52,189,A - C
Amberian Dawn - City of Corruption,Metal,2010,Amberian Dawn,City of Corruption,End of Eden,4:22,144,A - C
Amberian Dawn - Cold Kiss,Metal,2012,Amberian Dawn,Cold Kiss,Circus Black,3:32,171,A - C
Amberian Dawn - Come Now Follow,Metal,2010,Amberian Dawn,Come Now Follow,End of Eden,3:51,77,A - C
Amberian Dawn - Dreamchaser,Metal,2008,Amberian Dawn,Dreamchaser,River of Tuoni,4:07,139,A - C
Amberian Dawn - Evil Inside Me,Metal,2008,Amberian Dawn,Evil Inside Me,River of Tuoni,3:47,85,A - C
Amberian Dawn - Fate of the Maiden,Metal,2008,Amberian Dawn,Fate of the Maiden,River of Tuoni,2:52,183,A - C
Amberian Dawn - Field of Serpents,Metal,2010,Amberian Dawn,Field of Serpents,End of Eden,3:41,179,A - C
Amberian Dawn - Ghostly Echoes,Metal,2010,Amberian Dawn,Ghostly Echoes,End of Eden,5:43,149,A - C
Amberian Dawn - Incubus,Metal,2009,Amberian Dawn,Incubus,The Clouds of Northland Thunder,5:01,159,A - C
Amberian Dawn - Kokko - Eagle of Fire,Metal,2009,Amberian Dawn,Kokko - Eagle of Fire,The Clouds of Northland Thunder,3:22,149,A - C
Amberian Dawn - Letter,Metal,2012,Amberian Dawn,Letter,Circus Black,4:32,92,A - C
